log_s,log_rs,log_rs_diff,north,south
2.08278537,1.368799628,1.331966377,1.63008673,1.623242275
2.086359831,1.371861629,1.333912936,1.633781816,1.626884739
2.089905111,1.374786589,1.335855518,1.637420002,1.63046554
2.093421685,1.377733667,1.337774187,1.640964201,1.633989494
2.096910013,1.38055515,1.339684184,1.64444976,1.637451914
2.100370545,1.383335039,1.341562677,1.647875738,1.640857261
2.103803721,1.386086802,1.343489814,1.651228499,1.644189257
2.10720997,1.388665981,1.345395479,1.654518189,1.647456081
2.11058971,1.391278359,1.347194559,1.657754888,1.650669475
2.113943352,1.393787161,1.349033318,1.660925412,1.653825875
2.117271296,1.396271562,1.350944004,1.664030465,1.656926243
2.120573931,1.39871359,1.352816999,1.667052605,1.659952104
2.123851641,1.401187121,1.354594931,1.670006244,1.662904635
2.127104798,1.403607545,1.356271316,1.672899623,1.665788189
2.130333768,1.406010542,1.357823658,1.675749352,1.668610889
2.133538908,1.408335278,1.359424113,1.67853061,1.671367362
2.136720567,1.410703636,1.361055225,1.681256203,1.674060951
2.139879086,1.412957478,1.362689836,1.683921117,1.676700291
2.1430148,1.415297215,1.364261565,1.686516211,1.679282562
2.146128036,1.417586835,1.365804528,1.68906296,1.68181072
2.149219113,1.419881832,1.367311652,1.691547695,1.684285148
2.152288344,1.422130355,1.368807614,1.694000075,1.686696047
2.155336037,1.424315713,1.370326007,1.696412799,1.689038471
2.158362492,1.426337773,1.371749327,1.698748461,1.691311915
2.161368002,1.428278307,1.373155706,1.701019287,1.693529717
2.164352856,1.430257597,1.374610796,1.703227528,1.695674987
2.167317335,1.432301075,1.375996732,1.705376683,1.697740236
2.170261715,1.434198828,1.377282128,1.707455494,1.699739979
2.173186268,1.436080519,1.378585995,1.709457461,1.701684641
2.176091259,1.437968766,1.379876828,1.711410638,1.703573043
2.178976947,1.439739273,1.381192307,1.713319398,1.705416969
2.181843588,1.441497164,1.382593809,1.715170128,1.707214652
2.184691431,1.443374243,1.383943886,1.716955053,1.708963784
2.187520721,1.445177565,1.385292417,1.718670447,1.710655702
2.190331698,1.446967929,1.386639166,1.720348243,1.712302991
2.193124598,1.448699622,1.387923444,1.721974799,1.713898162
2.195899652,1.450424945,1.389180522,1.723546856,1.715430569
2.198657087,1.452144994,1.390469741,1.725069415,1.716918106
2.201397124,1.453866535,1.391770906,1.726537797,1.71835872
2.204119983,1.455583451,1.393070011,1.727960433,1.719751734
2.206825876,1.45730735,1.394352066,1.729317108,1.721100743
2.209515015,1.458988491,1.395565685,1.730626432,1.722400862
2.212187604,1.460588954,1.396717674,1.731885118,1.723646895
2.214843848,1.462210403,1.397812307,1.733092737,1.724843285
2.217483944,1.463773375,1.398860229,1.734241243,1.726006905
2.220108088,1.465319167,1.399832734,1.735330507,1.727136386
2.222716471,1.466821023,1.400767606,1.736373141,1.728199624
2.225309282,1.46825948,1.401716157,1.737370484,1.729218862
2.227886705,1.469725052,1.40263318,1.738310628,1.730189264
2.230448921,1.471115004,1.403528508,1.739205301,1.731118882
2.23299611,1.472454355,1.404424673,1.740059123,1.732000351
2.235528447,1.473804299,1.405278234,1.740853524,1.732846328
2.238046103,1.475137781,1.406075507,1.741606494,1.733643929
2.240549248,1.4765542,1.406823616,1.742316208,1.734390473
2.243038049,1.477944432,1.407506623,1.742981961,1.735078334
2.245512668,1.479367088,1.408197976,1.743597183,1.735716205
2.247973266,1.480779885,1.40889676,1.744170923,1.73630023
2.250420002,1.482177459,1.409555066,1.744688516,1.736840397
2.252853031,1.48353336,1.410200776,1.74515556,1.737323462
2.255272505,1.484899039,1.410848703,1.745569354,1.737756432
2.257678575,1.486212737,1.411509115,1.745936971,1.738137687
2.260071388,1.487529238,1.412186577,1.746256951,1.738489798
2.26245109,1.488845895,1.4128533,1.746540347,1.738793802
2.264817823,1.490147921,1.413543348,1.746788638,1.73905387
2.267171728,1.491465705,1.414248236,1.747014421,1.739272064
2.269512944,1.492709739,1.41500923,1.747221553,1.739449226
2.271841607,1.493940511,1.415825968,1.747387713,1.739588335
2.274157849,1.495163896,1.41665242,1.747520712,1.739685306
2.276461804,1.496362339,1.417496767,1.747612648,1.739737419
